,Ticker_ID,Comment_Frequency,Upvotes
2,THE,1448,62510
38,HOLD,718,37730
24,N'T,69,22101
46,CNBC,371,17969
70,BUY,497,16150
61,SELL,160,16131
29,WSB,497,14953
58,LET,108,12449
7,THIS,259,11329
12,LETS,402,10017
59,BOYS,108,9093
382,ICLN,544,8605
57,FUCK,289,8566
90,DONT,118,7916
52,MOON,286,7131
11,FOMO,256,6764
3,HERE,80,5623
121,THEY,77,5588
65,JUST,137,5243
261,LINE,68,4568
0,EOW,221,4430
39,DAY,76,4228
47,KEEP,73,3320
20,HOLY,118,3205
28,RIP,188,3050
14,ITS,104,2947
44,WHAT,103,2731
130,WHEN,41,2545
127,JPOW,165,2443
41,WIN,16,2421
97,DOWN,90,2339
40,OFF,64,2293
23,APES,68,2240
45,GUYS,53,2110
37,YOLO,94,1833
73,MAKE,55,1825
142,TOO,20,1782
42,LOL,97,1532
252,OUR,39,1473
193,FROM,40,1401
1,WTF,101,1376
207,ONLY,50,1360
75,OVER,39,1352
43,WANT,45,1344
132,EVEN,19,1276
19,RISE,67,1247
234,GIVE,27,1176
276,THEM,13,1172
214,WORK,12,1081
98,MEME,31,1033
13,WITH,53,1029
326,ARK,65,1026
126,SOLD,19,966
63,ARKK,77,965
77,GOT,40,946
18,GUH,61,937
62,GOOO,37,929
124,ASS,28,909
320,NYSE,20,873
364,BUT,31,846
51,GON,45,830
223,ASAP,6,807
170,FLY,37,802
116,TRCH,4,788
122,GOD,33,788
217,FULL,10,737
134,HOW,26,737
21,ETF,37,726
108,INTO,27,724
527,ARKG,35,697
129,SAID,38,694
33,LOOK,32,692
91,NEWS,29,685
79,BULL,38,685
125,HAND,10,673
25,WAY,33,652
760,230M,1,630
212,READ,5,619
238,LEFT,9,614
262,BOIS,15,610
112,HARD,31,573
445,PTSD,4,555
295,YET,8,551
167,LAST,26,545
71,IRA,11,543
487,CCIV,45,539
141,BRUH,4,525
397,MODS,17,522
27,AMA,31,499
120,GOO,21,496
787,7AM,1,459
783,🚀🚀WE,1,458
168,🅱️🅱️,22,454
64,PUTS,28,452
17,ROPE,37,445
768,BITC,1,443
509,DEEP,8,426
10,0DTE,40,417
54,SOON,15,402
155,USD,12,396
31,QQQ,40,395
243,END,16,385
725,15M,1,372
94,DAMN,23,372
220,CPI,16,357
209,WONT,16,353
529,DUMP,7,346
263,MADE,14,334
192,RICH,13,324
282,USED,3,323
113,HIGH,18,318
5,COCK,22,316
222,LONG,17,312
271,FEEL,12,310
158,HIS,10,310
596,COMI,1,304
88,GETS,10,302
210,HODL,13,301
53,CMON,16,296
421,DAYS,9,294
154,HITS,8,293
325,APPL,20,292
211,TITS,12,290
624,DING,18,288
118,DICK,17,281
275,MUST,10,281
743,SEL,3,272
478,HEY,12,259
289,SAW,3,259
109,UWM,18,249
329,MAY,11,248
119,TOP,12,245
197,MISS,11,243
542,PUT,9,239
221,HAD,4,236
322,HELD,7,230
357,MMED,18,229
554,10Y,13,229
345,U.S.,14,224
761,YEST,1,220
182,GAY,12,213
237,UMWC,13,212
428,SAYS,9,205
152,PICK,9,205
437,CFA,3,204
469,BAD,6,201
251,SAKE,6,199
558,NAME,4,196
785,14M,1,194
151,HOME,7,191
595,COV,3,188
306,CAME,6,188
106,LIFT,15,187
613,ARKF,14,186
235,STO,5,181
417,SUB,4,180
327,LADS,4,177
136,FYI,10,172
216,WEVE,4,171
354,VXX,16,171
416,GUY,4,170
268,BELL,8,167
50,15K,5,167
104,ILL,11,166
172,LOST,9,166
56,HULK,13,163
232,MARS,9,163
744,DATA,3,163
34,GONE,8,162
99,AWAY,7,159
360,WAR,4,158
284,FUEL,6,158
371,BRR,5,158
564,DUDE,4,158
247,DATE,4,158
4,SHOW,10,157
219,DEAD,10,154
269,100K,9,154
534,WSFT,3,153
148,MOM,12,152
198,NOON,4,149
135,ISNT,4,147
195,BOUT,6,145
346,FML,11,145
200,OWN,9,143
202,EST,11,140
358,JOIN,5,139
672,AOC,8,137
26,POS,13,137
729,FOOL,4,134
308,TAN,10,126
780,NOK🚀,9,126
649,WON,3,124
36,BOY,7,124
538,BYE,6,121
111,PAPA,5,121
319,SHE,7,121
741,SPA,2,120
279,ONCE,6,119
107,GAP,6,117
350,20K,7,117
333,DIA,5,116
80,FKN,6,115
755,YAY,1,115
500,OHHH,2,115
86,WYA,4,114
117,BAG,5,113
143,LOAD,6,112
513,QNX,5,111
102,SPAC,6,111
340,50K,5,111
483,TSL,10,110
128,TIM,10,109
178,SHUT,5,108
656,RIGH,2,107
194,BERS,9,107
822,'LL,2,106
165,P/E,11,105
92,STAR,5,104
123,KNEW,5,103
81,WIS,5,102
22,BLOW,5,102
740,ABOU,3,100
581,5AM,1,99
544,DONE,5,98
246,POOR,6,98
189,FUD,7,98
514,NSFW,3,97
425,TFW,7,97
735,FAR,4,96
146,DUTY,6,95
49,CLO,8,93
253,EASY,5,92
745,ATTA,2,92
652,PTLR,7,91
159,FBI,5,90
605,T212,3,90
612,🚨GME,3,89
545,BOSS,2,89
523,BOTH,5,88
762,TOM,2,88
375,MINS,4,86
72,FAA,7,84
769,EURO,1,84
405,LIST,3,82
582,SIGN,4,81
365,SICK,2,80
776,HRS,2,79
531,KARP,7,79
733,VOTE,1,79
30,EPS,7,78
312,UVXY,9,78
373,CDC,8,78
208,500M,3,77
493,VAX,1,77
784,ICON,1,76
203,LESS,4,76
816,VALH,1,76
655,/DFV,1,75
766,FEET,2,74
332,AYE,2,73
715,DIG,1,72
400,THI,5,72
176,SEXY,6,71
231,OMFG,5,71
272,BTW,3,70
100,VWAP,7,69
368,CORN,5,69
164,OFFF,4,69
753,LIK,2,69
96,CLN,3,68
516,ARMY,4,68
485,SIKE,1,68
864,52WK,1,68
756,FLA,1,67
763,6AM,1,67
726,SSR,2,66
716,ME😋,1,65
682,RULE,3,64
66,BTFD,6,63
377,MNDM,3,63
191,MVP,4,63
444,LUL,4,62
746,PUS,1,61
765,QHIT,1,60
757,WORM,1,60
69,20C,5,59
95,POV,3,59
764,MOTH,1,59
394,APY,1,59
426,HORY,1,58
233,27K,2,58
157,1MM,2,58
131,WEAK,5,57
186,JUMP,5,57
565,GMC,3,56
817,UPV,1,55
749,116M,1,55
750,BAJA,1,54
480,OTHE,2,54
396,SINK,2,54
515,DJIA,2,53
169,SQQQ,6,53
412,TEC,1,53
145,KONG,5,52
35,EDT,3,52
759,TON,1,52
385,MAD,3,51
294,AMC\,3,51
351,ATM,6,51
758,AMC💎,1,51
290,CHAD,4,51
8,BAGS,5,50
543,FUKK,3,50
481,1DTE,4,50
584,WEE,2,50
717,0CGN,2,50
114,'VE,5,49
384,PPI,4,49
708,SOAR,2,49
255,BUTT,4,49
767,PIC,1,48
620,BUZZ,3,48
607,GM3,1,48
719,ENDS,2,47
632,YER,2,47
310,DAYY,1,47
147,LAM,2,46
597,HURT,1,46
748,🚀🚀TO,1,46
752,THEE,1,46
328,RING,4,45
213,MIL,2,45
747,SHAR,1,45
265,BBUY,3,45
433,125M,1,45
177,IDEA,2,44
187,ATL,6,44
751,NIW,1,43
442,AWS,4,43
660,500P,1,43
728,REDS,1,43
181,FOMC,1,43
621,EATS,2,43
196,🚀AMC,3,43
843,2.5B,1,42
256,BUYS,3,42
616,STFU,2,42
732,FIRM,1,42
710,BOT,2,42
188,DOIN,3,42
173,GREA,1,42
390,WSB\,1,42
363,BET,3,42
298,DAM,3,41
144,COW,2,41
324,TOOO,2,40
292,FINE,3,40
367,SUS,2,40
685,CC👀V,2,40
737,CHAT,2,39
573,UWCM,1,39
434,11AM,2,39
665,1.9T,2,38
402,MONE,2,38
792,LETT,1,37
190,SLUT,3,36
281,🍇BB,2,36
849,MAGA,3,36
473,ROC,1,36
270,IDC,2,36
754,REST,1,36
299,BELT,2,35
283,134K,2,35
611,GEEE,2,35
175,USPS,2,35
859,PICS,2,35
482,DUE,2,35
633,GME-,2,35
486,CUCK,1,34
463,140K,2,34
770,SLEE,1,34
727,450M,1,34
798,YMCA,2,34
734,RAT,1,34
438,JOKE,2,34
229,VACK,1,34
171,NBA,3,34
226,MACD,3,33
288,WOOO,2,33
579,TOD,2,33
678,JEWS,1,33
492,43K,1,33
55,500K,3,33
707,700M,1,32
697,AMCC,2,32
250,INC,2,32
598,LAR,1,32
398,RIPS,2,32
60,WKH,2,32
160,40B,2,32
688,HELP,2,31
422,DEM,2,31
313,FACE,3,31
484,TANK,2,31
608,AMC😂,1,31
736,GOI,1,31
702,IMA,1,30
771,LINW,1,30
302,💙GME,1,30
273,JUNE,1,30
296,MST,2,30
781,SCUM,1,30
699,1BR,1,30
149,CFL,2,30
285,BB^,1,29
374,SOB,1,29
230,23C,1,29
576,DMV,2,29
696,SET,2,29
174,WET,1,29
387,GMEE,2,29
89,PORN,2,29
274,EOW🚀,1,28
683,SIR,2,28
488,FUKD,2,28
804,BOOK,3,28
361,ANTS,3,28
570,SOM,2,28
115,P/L,4,28
872,GOAL,1,28
278,UPP,1,28
823,BAJ,1,27
139,50MA,1,27
441,200B,2,27
667,ARMS,2,27
277,BEE,1,27
739,FEAR,1,27
87,CLII,2,27
832,MEL,1,27
812,INRG,1,27
730,BROD,1,27
388,SOXL,3,27
449,DMT,1,26
793,GAPS,1,26
264,POMP,2,26
259,BB=,1,26
76,SPC,2,26
427,SMH,3,26
260,GTFO,1,26
630,KETS,1,26
742,JUS,1,26
692,YIP,2,26
280,73C,1,26
724,CC👁V,2,26
419,REKT,2,26
853,DEMS,1,25
591,FANS,1,25
305,BUYI,2,25
731,VYST,1,25
179,RATE,2,25
830,130M,2,25
637,RTK,2,25
659,FIT,1,25
788,UP🚀🚀,1,25
709,🚀LAC,1,25
239,EARL,1,25
777,BEFO,1,25
318,OOH,1,25
137,BAN,2,25
738,ALRE,1,24
519,ESPN,1,24
786,12K,1,24
540,CUTE,1,24
162,DINE,2,24
722,390C,1,24
684,SUED,2,24
661,STR8,1,24
461,YEP,3,24
105,LGF,1,23
383,CANC,2,23
789,BB🌙,1,23
496,CLUB,2,23
794,GETT,1,23
795,WOUL,1,23
453,CNN,3,23
790,LEST,1,23
703,HLYN,1,23
588,PAPI,1,22
287,ROI,1,22
797,BB💎✋,1,22
796,BB🚂🚂,1,22
286,10MA,1,22
654,27C,2,22
572,TOYS,2,22
818,1.4K,1,22
459,750C,2,21
199,SOUL,1,21
824,REPE,1,21
603,AMA🤡,1,21
556,IROB,1,21
391,401K,2,21
535,ANUS,2,21
640,NOTE,1,21
589,BUX,1,21
622,120K,1,21
627,TOK,1,21
236,MINI,1,21
639,MODZ,1,20
693,NNAA,1,20
819,T-9,1,20
562,ABDL,1,20
844,MOFO,1,20
791,^THE,1,20
15,JULY,2,20
471,800K,1,20
472,PINA,1,20
342,15C,2,20
805,REEE,2,20
604,YOY,1,19
666,/AMC,1,19
860,3.2K,1,19
772,HAN,1,19
662,YOOO,1,19
567,USO,2,19
311,NTF,1,19
704,IMMA,1,18
641,FVKS,1,18
820,FORT,1,18
838,JOSH,1,18
856,MELT,1,18
343,ANAL,2,18
266,SITS,1,18
673,GPU,1,18
592,FIST,1,18
806,THA,1,18
140,SEX,1,18
590,PETA,1,17
821,JUIC,1,17
711,PERF,1,17
331,360K,2,17
580,ST.,1,17
201,25M,1,17
779,INNN,1,17
303,🚀SKY,1,17
240,🦍🦍A,1,17
539,LAID,2,17
267,BBB,1,17
826,800B,1,17
557,TEA,1,17
778,MFS,1,17
861,LESB,1,17
443,JIT,1,17
524,6MM,1,17
395,FUB,1,16
674,HANG,1,16
206,DOG,1,16
712,SWAN,1,16
628,UWSM,1,16
773,ADD,1,16
825,GTAV,1,16
827,SOFT,1,16
828,THD,1,16
705,I-35,1,16
852,ARAB,1,16
774,BB.,1,16
349,M-F,2,16
321,GAI,1,16
829,3.5M,1,16
498,RUNS,1,16
718,OGCN,1,16
254,UHHH,1,16
593,90K,1,16
675,RATS,1,15
689,CC👁,1,15
634,SPF,1,15
242,CAP,1,15
241,40C,1,15
614,GEE,1,15
606,NOSE,1,15
648,DOA,1,15
180,BICH,1,15
657,TAX,1,15
204,DRY,1,15
680,BDE,1,15
800,QCLN,1,15
723,TRIL,1,15
83,ODTE,2,15
813,40US,1,15
74,45C,1,15
546,ANTZ,1,15
799,CUP,1,15
413,DAQ,2,15
448,LES,1,15
807,🚀BB🚀,1,15
455,\+4K,1,15
446,OTC,1,14
833,JRP,1,14
626,WONG,1,14
323,OVEN,1,14
615,KID,1,14
629,DIET,1,14
720,ZOMG,1,14
706,MID,1,14
713,527M,1,14
609,OUTA,1,14
462,IPOE,1,14
244,CL0V,1,14
93,FAK,1,14
291,AMC✅,1,14
679,DANM,1,14
871,BFT,2,14
205,SHOR,1,14
866,STIC,2,14
594,SIZE,1,14
541,SHR,1,14
550,HAIR,1,14
690,GRPE,1,14
663,RAID,1,14
840,SINS,1,13
839,LEGS,1,13
359,RUN…,1,13
865,DOE,1,13
378,SQUE,1,13
249,W1SH,1,13
643,BETS,1,13
6,70M,1,13
447,MNM,1,13
669,LTR,1,13
676,6PM,1,13
677,CORE,1,13
245,^GME,1,13
714,WAYS,1,13
533,705C,1,13
574,SAF,1,13
547,FUVK,1,13
610,DARK,1,13
782,SAD,1,13
617,WANK,1,13
801,🚀BB,1,13
775,LAU,1,13
623,93K,1,13
532,GUSH,1,13
110,O.G,1,13
297,ADDY,1,13
569,DEEZ,1,13
551,NIO😳,1,12
671,DAFT,1,12
600,DUM,1,12
701,COM,1,12
668,AHAH,1,12
215,WSB…,1,12
218,SEN,1,12
224,OPRH,1,12
664,3MIL,1,12
293,DOGS,1,12
304,AMMO,1,12
681,DOO,1,12
691,OIL,1,12
721,FEYE,1,12
658,FRYI,1,12
635,OOGA,1,12
636,SONG,1,12
257,WIL,1,12
808,69M,1,12
802,AGRE,1,12
625,3/5C,1,12
642,DOTH,1,12
440,75K,1,12
439,160K,1,12
831,FIB,1,12
834,PTSH,1,12
489,😘😘I,1,12
499,SCR,1,12
503,RUFF,1,12
841,AHHH,1,12
248,120M,1,12
575,NEK,1,12
183,PTD,1,11
700,FUCC,1,11
225,CLOF,1,11
631,25K,1,11
670,GAR,1,11
464,JOI,1,11
314,GME🤪,1,11
520,GRE,1,11
316,🚀NOK,1,11
645,GALS,1,11
504,TLYR,1,11
803,POEM,1,11
809,FADE,1,11
811,TOT,1,11
450,YTHI,1,11
307,NEY,1,11
435,VXXT,1,11
430,113M,1,11
366,F-15,1,11
847,ESGV,1,11
848,LPT,1,11
855,POD,1,11
9,'EM,1,11
403,ARKQ,1,11
526,THY,1,11
78,AREA,1,11
301,THT,1,11
586,20Y,1,11
644,388C,1,11
638,HEDG,1,11
258,FDA,1,11
619,ARSE,1,11
618,MLVN,1,11
300,CHEN,1,11
601,HIIT,1,11
599,GOKU,1,11
602,BYY,1,11
585,DIP\,1,11
563,ZONE,1,11
559,REPO,1,11
561,MÁS,1,11
163,BOOP,1,10
185,EEM,1,10
870,22K,1,10
869,-5K,1,10
868,MT😻,1,10
867,GHIV,1,10
184,RUG,1,10
854,REMX,1,10
810,DONG,1,10
68,LARP,1,10
845,ICUM,1,10
842,VTI,1,10
150,TURD,1,10
835,ATTN,1,10
138,105C,1,10
386,MINU,1,10
578,FLEE,1,10
347,RIS,1,10
548,1.5K,1,10
406,POO,1,10
423,19K,1,10
491,CON,1,10
552,LEAD,1,10
553,2K+,1,10
555,CROW,1,10
560,150P,1,10
431,AOL,1,10
436,TSAL,1,10
228,24K,1,10
505,409C,1,10
401,POKE,1,10
494,PSG,1,10
687,OVE,1,10
399,WW3,1,10
465,ICAR,1,10
646,53M,1,10
647,MUH,1,10
650,CEO\,1,10
451,MSIS,1,10
466,MOOD,1,10
686,D.NN,1,10
495,BEVE,1,9
317,RONA,1,9
851,REDO,1,9
850,GME🤡,1,9
497,GOSH,1,9
502,PAMP,1,9
846,60M,1,9
227,YAWN,1,9
432,30Y,1,9
424,SPX,1,9
837,TMRW,1,9
315,IMP,1,9
348,YAS,1,9
454,NUMI,1,9
456,H.B,1,9
814,VEE,1,9
815,^^BB,1,9
82,JAM,1,9
48,HOD,1,9
517,GODS,1,9
577,400C,1,9
566,FYI-,1,9
161,GLD,1,9
133,HAM,1,9
583,LORD,1,9
549,WAP,1,9
404,13P,1,9
166,FKD,1,9
858,GIME,1,9
85,HECK,1,9
857,TOS,1,9
651,RULL,1,9
309,ERA,1,9
653,500B,1,9
525,SEAL,1,9
522,MBA,1,9
389,FEW,1,9
460,GUHS,1,9
863,FLYS,1,9
457,NVD,1,8
379,57M,1,8
392,BURN,1,8
452,250M,1,8
376,420P,1,8
429,POOP,1,8
352,45K,1,8
862,BEOM,1,8
836,EXT,1,8
411,MAH,1,8
362,HAAA,1,8
407,NOOB,1,8
16,MERI,1,8
408,TOKS,1,8
418,WOAT,1,8
409,30M,1,8
370,TED,1,8
372,BENT,1,8
410,HSA,1,8
875,WW84,1,8
84,RGB,1,8
587,HUG,1,8
67,RPG,1,8
536,DOMP,1,8
101,1ET,1,8
103,REO,1,8
568,BAGG,1,8
571,14K,1,8
510,325P,1,8
537,CHIP,1,8
511,135C,1,8
521,NCAA,1,8
475,ARKD,1,8
528,JSUT,1,8
470,MEEE,1,8
468,BAB,1,8
530,€HAD,1,8
467,TV+,1,8
501,FUBU,1,8
518,EUA,1,7
506,WMT-,1,7
414,FKED,1,7
458,SALT,1,7
507,DMXF,1,7
369,☠RIP,1,7
334,7.5M,1,7
420,MILK,1,7
330,SOUR,1,7
490,NOPE,1,7
335,OLTY,1,7
336,STI,1,7
153,DED,1,7
353,412C,1,7
477,CPR,1,7
393,LEAK,1,7
32,OPEC,1,7
156,AMC🍿,1,6
873,87K,1,6
344,AUNT,1,6
508,42B,1,6
512,131C,1,6
339,EPIC,1,6
476,VIS,1,6
415,LIP,1,6
341,LSD,1,6
356,MYTH,1,6
338,STU,1,6
337,300K,1,6
355,4.4K,1,5
479,413C,1,5
380,PEAR,1,5
381,VTSA,1,5
474,MOTO,1,5
874,VSPR,1,4
694,RDS,1,4
695,YHOO,1,3
698,TRYP,1,2
